Chromosome #,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,
1,2,1,3,2,4,1,1,2,2,2
2,1,2,2,2,4,2,2,2,2,2
3,2,2,3,2,4,2,2,2,2,2
4,1,1,1,1,2,1,1,1,1,1
5,2,2,1,2,4,2,2,2,2,2
6,1,1,1,1,2,1,1,1,1,1
7,2,2,2,2,4,2,2,2,2,2
8,1,1,1,1,2,1,1,1,1,1
9,2,2,2,2,2,2,2,2,2,2
10,2,2,2,2,4,2,2,2,2,2
11,2,2,2,2,4,2,2,2,2,2
12,1,1,1,1,2,1,1,1,1,1
13,2,2,2,2,3,2,2,2,2,2
14,1,1,3,2,2,1,1,2,1,2
15,0,0,0,0,0,0,0,0,0,0
16,2,2,2,2,4,2,2,2,2,2
17,1,1,2,1,2,1,1,1,1,2
18,0,0,0,1,0,0,0,0,0,0
19,2,2,2,2,4,2,2,2,2,2
20,2,2,2,2,4,2,2,2,2,2
21,1,1,1,1,4,1,1,2,2,2
22,1,1,1,1,2,1,1,1,1,1
X,2,2,2,1,4,2,2,2,2,2
Y,0,0,0,0,0,0,0,0,0,0
"der(5,6)",1,1,1,1,2,1,1,1,1,1
"der(4,22)",1,1,0,1,2,1,1,1,1,1
"der(8,12)",1,1,1,1,2,1,1,1,1,1
der(5-),1,1,2,1,2,1,0,1,1,1
der(14-),0,0,0,0,0,0,0,0,1,1
"der(17,19)",1,1,1,1,2,1,1,1,0,0
der (15+),1,1,1,1,2,1,1,1,1,1
"der(18,14,18)",2,2,2,1,3,2,2,2,2,0
"der(18,14)",0,0,0,0,0,0,0,0,0,0
"der(8,21)",1,1,1,1,0,1,1,1,0,0
"der(1,15)",0,1,0,0,0,0,1,1,0,0
der(X-),0,0,0,0,0,0,0,0,0,0
unknown variable,0,0,0,0,0,0,0,0,0,0
der(1-),0,0,0,0,0,0,0,0,0,0
"der (21,19)",0,0,0,0,2,0,0,0,0,0
"der (19,4)",0,0,1,0,0,0,0,0,0,0
"der(11,14)",1,1,0,1,0,0,0,0,0,0
