HeLa MTX 9-22-08,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Image Number,2,3,4,5,7,8,9,10,11,14,15,16,17,18,19,20,21,22,23,25,,Mode,
,56,63,67,64,67,61,67,66,65,64,90,62,67,68,64,64,64,67,63,68,,67,25%
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,0%
1,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,,3,95%
2,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,90%
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,100%
4,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,,2,95%
5,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,,3,85%
6,1,1,1,1,3,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,,1,70%
7,2,3,3,3,3,3,2,3,3,2,4,2,3,3,3,3,3,2,3,3,,3,70%
8,2,3,4,2,3,3,2,3,3,3,5,3,3,3,3,3,3,3,2,3,,3,70%
9,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,,2,90%
10,3,3,3,3,3,2,3,3,3,3,5,3,3,3,3,3,3,3,2,3,,3,85%
11,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,2,90%
12,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,,3,95%
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,100%
15,3,3,3,4,4,3,4,3,3,3,6,3,3,3,3,3,3,4,3,3,,3,75%
16,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,3,2,2,,2,80%
17,1,3,4,3,3,3,3,4,2,4,5,3,4,3,3,3,3,4,4,4,,3,50%
18,2,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,2,3,2,3,,3,70%
19,0,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,,1,75%
20,2,2,2,1,2,2,2,2,2,2,3,2,2,3,2,2,3,1,2,2,,2,75%
21,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,,1,95%
22,0,2,2,2,1,1,2,2,2,2,4,2,2,2,2,2,2,2,2,2,,2,80%
X,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,100%
Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(2:6),1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,95%
